date,location,tweetcreatedts,sentiment
20220226,Djibouti,8,-0.5
20220226,Dominican Republic,14,-0.285714286
20220226,East Timor,1,-1
20220226,Ecuador,89,-0.235955056
20220226,Egypt,140,-0.314285714
20220226,El Salvador,34,-0.294117647
20220226,England,4627,-0.257402204
20220226,Eritrea,7,-0.142857143
20220226,Estonia,174,-0.333333333
20220226,Ethiopia,91,-0.505494505
20220226,Falkland Islands,2,-0.5
20220226,Fiji,22,-0.409090909
20220226,Finland,451,-0.190687361
20220226,France,1224,-0.280228758
20220226,Gabon,1,0
20220226,Gambia,3,-0.333333333
20220226,Georgia,406,-0.25862069
20220226,Germany,1219,-0.256767842
20220226,Ghana,521,-0.134357006
20220226,Greece,192,-0.317708333
20220226,Greenland,8,0.125
20220226,Guatemala,26,-0.307692308
20220226,Guinea,4,0.25
20220226,Guyana,1,-1
20220226,Haiti,12,-0.416666667
20220226,Honduras,8,-0.75
20220226,Hungary,70,-0.242857143
20220226,Iceland,28,-0.214285714
20220226,India,8594,-0.22678613
20220226,Indonesia,426,-0.138497653
20220226,Iran,90,-0.433333333
20220226,Iraq,30,-0.2
20220226,Ireland,985,-0.170558376
20220226,Israel,179,-0.284916201
20220226,Italy,326,-0.263803681
20220226,Jamaica,48,-0.3125
20220226,Japan,381,-0.188976378
20220226,Jordan,24,-0.375
20220226,Kazakhstan,19,-0.368421053
20220226,Kenya,617,-0.145867099
20220226,Kosovo,23,-0.434782609
20220226,Kuwait,44,-0.477272727
20220226,Kyrgyzstan,4,-0.25
20220226,Laos,2,0
20220226,Latvia,126,-0.357142857
20220226,Lebanon,81,-0.222222222
20220226,Lesotho,11,-0.545454545
20220226,Liberia,2,-1
20220226,Libya,28,-0.464285714
20220226,Lithuania,131,-0.366412214
20220226,Luxembourg,47,0.021276596
20220226,Macedonia,18,-0.277777778
20220226,Madagascar,7,-0.714285714
20220226,Malawi,8,0
20220226,Malaysia,237,-0.257383966
20220226,Mali,18,-0.444444444
20220226,Mauritania,1,-1
20220226,Mexico,235,-0.225531915
20220226,Moldova,16,-0.125
20220226,Mongolia,50,-0.26
20220226,Montenegro,22,-0.318181818
20220226,Morocco,26,-0.192307692
20220226,Mozambique,2,1
20220226,Myanmar,19,-0.421052632
20220226,Namibia,12,-0.5
20220226,Nepal,90,-0.311111111
20220226,Netherlands,514,-0.342412451
20220226,New Zealand,195,-0.256410256
20220226,Nicaragua,47,-0.340425532
20220226,Niger,2194,-0.288058341
20220226,North Korea,10,-0.7
20220226,Norway,257,-0.272373541
20220226,Oman,29,-0.379310345
20220226,Pakistan,1206,-0.383084577
20220226,Panama,25,-0.24
20220226,Papua New Guinea,7,-0.142857143
20220226,Paraguay,28,-0.25
20220226,Peru,108,-0.25
20220226,Philippines,264,0.064393939
20220226,Poland,556,-0.307553957
20220226,Portugal,498,-0.24497992
20220226,Puerto Rico,126,-0.293650794
20220226,Qatar,47,-0.234042553
20220226,Republic of Serbia,58,-0.482758621
20220226,Romania,173,-0.306358382
20220226,Russia,171,-0.350877193
20220226,Rwanda,25,-0.08
20220226,Saudi Arabia,61,-0.344262295
20220226,Senegal,4,-0.25
20220226,Sierra Leone,9,-0.111111111
20220226,Slovakia,42,-0.19047619
20220226,Slovenia,62,-0.048387097
20220226,Solomon Islands,2,-0.5
20220226,Somalia,59,-0.372881356
20220226,Somaliland,7,-0.428571429
20220226,South Africa,891,-0.343434343
20220226,South Korea,24,-0.083333333
20220226,South Sudan,3,-0.333333333
20220226,Spain,333,-0.264264264
20220226,Sri Lanka,134,-0.298507463
20220226,Sudan,18,-0.555555556
20220226,Suriname,1,0
20220226,Swaziland,6,-0.166666667
20220226,Sweden,279,-0.268817204
20220226,Switzerland,289,-0.262975779
20220226,Syria,59,-0.474576271
20220226,Taiwan,180,-0.105555556
20220226,Tajikistan,1,0
20220226,Thailand,274,-0.237226277
20220226,Togo,4,-1
20220226,Trinidad and Tobago,20,-0.25
20220226,Tunisia,11,-0.363636364
20220226,Turkey,145,-0.296551724
20220226,USA,8949,-0.286847692
20220226,Uganda,151,-0.291390728
20220226,Ukraine,1173,-0.283034953
20220226,United Arab Emirates,138,-0.15942029
20220226,Uruguay,35,-0.371428571
20220226,Uzbekistan,4,0.25
20220226,Vanuatu,1,-1
20220226,Venezuela,307,-0.361563518
20220226,Vietnam,31,-0.258064516
20220226,Western Sahara,1,0
20220226,Yemen,29,-0.517241379
20220226,Zambia,25,-0.04
20220226,Zimbabwe,87,-0.356321839
20220227,Afghanistan,65,-0.523076923
20220227,Albania,40,-0.15
20220227,Algeria,15,-0.666666667
20220227,Angola,8,-0.5
20220227,Antarctica,45,-0.488888889
20220227,Argentina,305,-0.370491803
20220227,Armenia,23,-0.304347826
20220227,Australia,1480,-0.32972973
20220227,Austria,133,-0.240601504
20220227,Azerbaijan,70,0.014285714
20220227,Bangladesh,170,-0.147058824
20220227,Belarus,10,-0.4
20220227,Belgium,266,-0.248120301
20220227,Belize,4,-1
20220227,Benin,14,-0.214285714
20220227,Bhutan,1,0
20220227,Bolivia,53,-0.264150943
20220227,Bosnia and Herzegovina,21,-0.380952381
20220227,Botswana,27,-0.555555556
20220227,Brazil,127,-0.456692913
20220227,Bulgaria,51,-0.31372549
20220227,Burkina Faso,5,0
20220227,Burundi,5,-0.8
20220227,Cambodia,27,-0.148148148
20220227,Cameroon,15,-0.466666667
20220227,Canada,3484,-0.310275545
20220227,Chad,3,-0.666666667
20220227,Chile,373,-0.201072386
20220227,China,166,-0.307228916
20220227,Colombia,213,-0.342723005
20220227,Costa Rica,60,-0.166666667
20220227,Croatia,72,-0.305555556
20220227,Cuba,46,0.152173913
20220227,Cyprus,33,-0.242424242
20220227,Czech Republic,138,-0.260869565
20220227,Denmark,149,-0.315436242
20220227,Djibouti,6,-0.333333333
20220227,Dominican Republic,11,-0.272727273
20220227,Ecuador,150,-0.213333333
20220227,Egypt,103,-0.446601942
20220227,El Salvador,42,-0.142857143
20220227,England,4534,-0.275474195
20220227,Eritrea,3,0.333333333
20220227,Estonia,117,-0.213675214
20220227,Ethiopia,103,-0.67961165
20220227,Fiji,22,-0.318181818
20220227,Finland,426,-0.274647887
20220227,France,1126,-0.270870337
20220227,Gambia,2,-1
20220227,Georgia,457,-0.273522976
20220227,Germany,1262,-0.28526149
20220227,Ghana,371,-0.25606469
20220227,Greece,263,-0.326996198
20220227,Greenland,27,-0.259259259
20220227,Guatemala,32,-0.375
20220227,Guinea,2,-0.5
20220227,Guyana,2,-1
20220227,Haiti,21,-0.333333333
20220227,Honduras,8,-0.625
20220227,Hungary,49,-0.448979592
20220227,Iceland,32,-0.34375
20220227,India,7396,-0.272444565
20220227,Indonesia,449,-0.218262806
20220227,Iran,72,-0.555555556
20220227,Iraq,28,-0.107142857
20220227,Ireland,922,-0.219088937
20220227,Israel,199,-0.195979899
20220227,Italy,316,-0.234177215
20220227,Ivory Coast,1,-1
20220227,Jamaica,74,-0.337837838
20220227,Japan,511,-0.236790607
20220227,Jordan,38,-0.368421053
20220227,Kazakhstan,17,-0.352941176
20220227,Kenya,613,-0.324632953
20220227,Kosovo,27,-0.444444444
20220227,Kuwait,45,-0.488888889
20220227,Kyrgyzstan,3,0
20220227,Latvia,141,-0.354609929
20220227,Lebanon,92,-0.282608696
20220227,Lesotho,20,-0.4
20220227,Liberia,5,0
20220227,Libya,18,-0.388888889
20220227,Lithuania,118,-0.36440678
20220227,Luxembourg,45,-0.466666667
20220227,Macedonia,13,-0.076923077
20220227,Madagascar,5,-0.6
20220227,Malawi,6,-0.666666667
20220227,Malaysia,187,-0.35828877
20220227,Mali,29,-0.413793103
20220227,Mexico,258,-0.224806202
20220227,Moldova,16,-0.125
20220227,Mongolia,62,-0.177419355
20220227,Montenegro,8,-0.25
20220227,Morocco,23,-0.217391304
20220227,Mozambique,6,0.166666667
20220227,Myanmar,24,-0.291666667
20220227,Namibia,21,-0.666666667
20220227,Nepal,87,-0.172413793
20220227,Netherlands,530,-0.330188679
20220227,New Zealand,255,-0.301960784
20220227,Nicaragua,37,-0.405405405
20220227,Niger,1484,-0.327493261
20220227,North Korea,18,-0.388888889
20220227,Norway,198,-0.323232323
20220227,Oman,17,-0.352941176
20220227,Pakistan,984,-0.338414634
20220227,Panama,30,-0.433333333
20220227,Papua New Guinea,4,-0.5
20220227,Paraguay,21,-0.238095238
20220227,Peru,128,-0.1640625
20220227,Philippines,316,0.123417722
20220227,Poland,595,-0.351260504
20220227,Portugal,505,-0.231683168
20220227,Puerto Rico,126,-0.46031746
20220227,Qatar,81,-0.456790123
20220227,Republic of Serbia,73,-0.438356164
20220227,Romania,140,-0.235714286
20220227,Russia,187,-0.454545455
20220227,Rwanda,9,-0.222222222
20220227,Saudi Arabia,55,-0.345454545
20220227,Senegal,7,-0.142857143
20220227,Sierra Leone,3,-1
20220227,Slovakia,34,0
20220227,Slovenia,62,-0.290322581
20220227,Solomon Islands,1,-1
20220227,Somalia,36,-0.25
20220227,Somaliland,7,-0.571428571
20220227,South Africa,922,-0.440347072
20220227,South Korea,20,-0.7
20220227,South Sudan,6,0
20220227,Spain,298,-0.22147651
20220227,Sri Lanka,125,-0.296
20220227,Sudan,20,-0.75
20220227,Swaziland,4,0
20220227,Sweden,344,-0.188953488
20220227,Switzerland,255,-0.188235294
20220227,Syria,59,-0.457627119
20220227,Taiwan,139,-0.223021583
20220227,Tajikistan,2,-0.5
20220227,Thailand,380,-0.234210526
20220227,Togo,3,-1
20220227,Trinidad and Tobago,13,-0.153846154
20220227,Tunisia,7,-0.857142857
20220227,Turkey,116,-0.232758621
20220227,USA,11306,-0.310012383
20220227,Uganda,124,-0.201612903
20220227,Ukraine,1502,-0.376830892
20220227,United Arab Emirates,128,-0.3515625
20220227,Uruguay,48,-0.1875
20220227,Uzbekistan,1,0
20220227,Vanuatu,1,0
20220227,Venezuela,414,-0.280193237
20220227,Vietnam,53,-0.188679245
20220227,Western Sahara,1,-1
20220227,Yemen,41,-0.756097561
20220227,Zambia,10,-0.4
20220227,Zimbabwe,84,-0.226190476
20220228,Afghanistan,62,-0.5
20220228,Albania,33,-0.333333333
20220228,Algeria,20,-0.55
20220228,Angola,4,0
20220228,Antarctica,49,-0.265306122
20220228,Argentina,231,-0.173160173
20220228,Armenia,31,-0.290322581
20220228,Australia,1097,-0.29443938
20220228,Austria,149,-0.194630872
20220228,Azerbaijan,62,-0.161290323
20220228,Bangladesh,167,-0.185628743
20220228,Belarus,19,-0.473684211
20220228,Belgium,337,-0.15727003
20220228,Belize,5,-0.2
20220228,Benin,8,0.125
20220228,Bolivia,23,-0.217391304
20220228,Bosnia and Herzegovina,17,-0.235294118
20220228,Botswana,28,-0.285714286
20220228,Brazil,130,-0.161538462
20220228,Bulgaria,65,-0.369230769
20220228,Burkina Faso,8,-0.5
20220228,Burundi,7,-0.571428571
20220228,Cambodia,18,-0.055555556
20220228,Cameroon,16,-0.0625
20220228,Canada,2414,-0.210853355
20220228,Central African Republic,3,0
20220228,Chad,1,0
20220228,Chile,241,-0.182572614
20220228,China,145,-0.165517241
20220228,Colombia,140,-0.25
20220228,Costa Rica,35,-0.114285714
20220228,Croatia,81,-0.308641975
20220228,Cuba,38,-0.368421053
20220228,Cyprus,62,-0.435483871
20220228,Czech Republic,148,-0.236486486
20220228,Denmark,141,-0.241134752
20220228,Djibouti,8,-0.5
20220228,Dominican Republic,12,-0.25
20220228,East Timor,1,0
20220228,Ecuador,103,-0.048543689
20220228,Egypt,113,-0.380530973
20220228,El Salvador,31,-0.258064516
20220228,England,4048,-0.269021739
20220228,Equatorial Guinea,1,-1
20220228,Eritrea,1,0
20220228,Estonia,155,-0.174193548
20220228,Ethiopia,104,-0.442307692
20220228,Falkland Islands,1,1
20220228,Fiji,18,0.222222222
20220228,Finland,484,-0.25
20220228,France,999,-0.239239239
20220228,Gambia,6,0
20220228,Georgia,323,-0.219814241
20220228,Germany,1118,-0.241502683
20220228,Ghana,276,-0.257246377
20220228,Greece,229,-0.301310044
20220228,Greenland,10,-0.3
20220228,Guatemala,23,-0.260869565
20220228,Guyana,3,0.333333333
20220228,Haiti,11,-0.363636364
20220228,Honduras,9,-0.333333333
20220228,Hungary,68,-0.308823529
20220228,Iceland,44,-0.25
20220228,India,7410,-0.309446694
20220228,Indonesia,302,-0.178807947
20220228,Iran,59,-0.389830508
20220228,Iraq,32,-0.3125
20220228,Ireland,796,-0.180904523
20220228,Israel,188,-0.367021277
20220228,Italy,278,-0.230215827
20220228,Ivory Coast,2,0
20220228,Jamaica,48,-0.270833333
20220228,Japan,346,-0.234104046
20220228,Jordan,39,-0.384615385
20220228,Kazakhstan,22,0
20220228,Kenya,416,-0.310096154
20220228,Kosovo,23,-0.173913043
20220228,Kuwait,28,-0.5
20220228,Kyrgyzstan,2,0.5
20220228,Laos,1,0
20220228,Latvia,148,-0.297297297
20220228,Lebanon,96,-0.34375
20220228,Lesotho,14,-0.357142857
20220228,Liberia,8,0.125
20220228,Libya,19,-0.842105263
20220228,Lithuania,124,-0.290322581
20220228,Luxembourg,61,-0.262295082
20220228,Macedonia,12,-0.333333333
20220228,Madagascar,14,-0.357142857
20220228,Malawi,12,-0.25
20220228,Malaysia,132,-0.515151515
20220228,Mali,11,-0.363636364
20220228,Mauritania,1,0
20220228,Mexico,196,-0.234693878
20220228,Moldova,5,0
20220228,Mongolia,39,-0.205128205
20220228,Montenegro,11,-0.272727273
20220228,Morocco,11,-0.090909091
20220228,Mozambique,5,-0.8
20220228,Myanmar,31,-0.322580645
20220228,Namibia,6,-0.5
20220228,Nepal,63,-0.412698413
20220228,Netherlands,611,-0.330605565
20220228,New Zealand,181,-0.259668508
20220228,Nicaragua,39,-0.307692308
20220228,Niger,1153,-0.271465742
20220228,North Korea,9,-0.777777778
20220228,Norway,211,-0.27014218
20220228,Oman,22,-0.318181818
20220228,Pakistan,973,-0.408016444
20220228,Panama,24,-0.083333333
20220228,Papua New Guinea,7,-0.428571429
20220228,Paraguay,25,-0.16
20220228,Peru,105,-0.276190476
20220228,Philippines,126,-0.023809524
20220228,Poland,533,-0.240150094
20220228,Portugal,321,-0.174454829
20220228,Puerto Rico,96,-0.40625
20220228,Qatar,78,-0.384615385
20220228,Republic of Serbia,50,-0.42
20220228,Romania,164,-0.140243902
20220228,Russia,165,-0.375757576
20220228,Rwanda,26,-0.115384615
20220228,Saudi Arabia,76,-0.394736842
20220228,Senegal,9,-0.111111111
20220228,Sierra Leone,7,-0.571428571
20220228,Slovakia,38,-0.078947368
20220228,Slovenia,60,-0.133333333
20220228,Solomon Islands,1,-1
20220228,Somalia,36,-0.333333333
20220228,Somaliland,15,-0.466666667
20220228,South Africa,683,-0.370424597
20220228,South Korea,23,-0.304347826
20220228,South Sudan,9,-0.444444444
20220228,Spain,291,-0.285223368
20220228,Sri Lanka,108,-0.425925926
20220228,Sudan,15,-0.6
20220228,Swaziland,1,0
20220228,Sweden,318,-0.261006289
20220228,Switzerland,305,-0.226229508
20220228,Syria,64,-0.390625
