,location,hashtag,cnt,retweet_mean,retweet_max,text
2216,Israel,ukraineunderattack,227,1882.97,76850,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2217,Israel,ukrainewar,1201,51.46,5842,ukraine osint ukrainerussiawar ukrainewar war criminals identified identification data of scouts of the russian 64th motorized rifle brigade https t co pvozhpkxta we ask you to share this information as much as possible https t co w7hu5yitgq
2218,Israel,ukrainian,825,266.01,13019,among 86 ukrainian captives released today in exchange for ru soldiers there were 15 women russians shaved our beautiful women baldly specifically to humiliate them never you will humiliate ukraine never will you humiliate any ua woman they are the bravest in the world https t co nzsihmw4qk
2219,Israel,us,256,102.48,6239,a pleasure to meet with speakerpelosi amp recognise her longstanding support for taiwan your visit not only reflects strong us congressional support for bilateral ties it also sends a message to the world that democracies stand together in the face of common challenges https t co qu0qud3106
2220,Israel,usa,733,4.04,465,president biden said that if chemical weapons are used usa will take the next steps well i think the time is now no matter if the mariupol report get confirmed stopputinnow newsmax ericbolling https t co hlxe8cpiza
2221,Israel,war,269,166.24,33614,more than 300 russian scientists and scientific journalists have signed an open letter against the war in ukraine for me it is of particular significance because i am one of the signatories please retweet and tell everyone we do not support war https t co cqnxfommmx
2222,Italy,armukrainenow,699,582.6,12396,join millions of voices in a global social media campaign armukrainenow 1 post a picture with a sign saying armukrainenow 2 call on your government to provide heavy weapons to ukraine 3 tag 3 friends and ask them to do the same stand with the ukrainian people https t co sfx96p4ckj
2223,Italy,biden,534,31.07,1536,let us take a more honest look at biden and putin thank you irinamar1004_z https t co 5jexui7mnb
2224,Italy,bucha,866,1230.58,14771,remember the dog in bucha who lost his owner good news he found him this dog sounds human dogsofukraine standwithukraine armukrainenow https t co wjprubxkzd
2225,Italy,business,313,0.36,17,lavrov zelensky sells the weapons that arrive in ukraine from nato on the black market business
2226,Italy,china,674,66.84,2188,while some mep s talk sense about china others bow to nato who warn us of china building its military bullying it has it is neighbours but nato forgot to tell us that us spend more on military than the next 9 countries together china has not dropped a bomb on anyone in 40 years https t co ydy4wi53g5
2227,Italy,eu,995,170.72,9317,president zelenskyyua signed eu membership application for ukraine this is the choice of and ukrainian people we more than deserve it https t co frhltfyjvj
2228,Italy,kharkiv,1088,276.85,6800,it s 38 km from kharkiv to russia and yet 600k people travel 1019 km to safety in lviv this is all you have to know about what ukrainians feel about russia and their liberation mission ukraineisnotrussia
2229,Italy,kherson,1031,212.13,7437,not what i imagined liberation to look like kherson https t co pslcoodizj
2230,Italy,kyiv,1273,865.12,32383,putin s dream of creating a greater russia is my country s nightmare saveukraine kyiv stopputinswar standtogether freeukraine weareallukrainians standwithukraine stopthewar https t co ekw3k6bsbz
2231,Italy,mariupol,3025,1072.33,23910,russians began using mobile crematoriums in mariupol to burn bodies of slaughtered ukrainians en masse this is a catastrophe and we will never learn the true scale of it
2232,Italy,nato,2382,215.02,6862,sweden and finland s prime ministers have just held a joint press conference outlining plans to join nato expected to move first pm marin says she will not give a timetable but it will happen quite fast within weeks not within months we will have the discussion https t co hueknkdvud
2233,Italy,news,603,13.56,1333,dagestan is the leader in the number of losses during special operations in ukraine putin wants to destroy youth in dagestan in order to give it to chechnya map of the liberation of nationalities in russia dagestan can become free and independent from russia war news https t co jhz09dvlqw
2234,Italy,putin,3164,203.45,10898,this is what putin is doing to my country i want you to see it i want you to feel it i want you to learn what it looks like when a rocket hits your home stopputinnow https t co lquwr0zz1r
2235,Italy,russia,9815,450.82,47669,in stpetersburg russia the police detained a well known survivor of the siege of leningrad yelena osipova at an anti war protest https t co qfhprwkcco
2236,Italy,russiaisaterroriststate,411,156.17,18305,russians kill peaceful ukrainians everyday russians torture our soldiers in captivity russians ruin our cities with bombs do not expect them to stop they won t instead help us with weapons ask your governments to arm ukraine we need them right now russiaisaterroriststate https t co xdr1lvm9c5
2237,Italy,russian,3706,467.12,61007,just in russian state tv channels have been hacked by anonymous to broadcast the truth about what happens in ukraine oprussia opkremlin fckputin standwithukriane https t co vbq8pqnjpc
2238,Italy,russianukrainianwar,274,94.36,4383,21 temporarily occupied popasna luhansk oblast russians cut off man s head and put it on a stick amnesty international don t see this armukrainenow warcrimes war russianwarcrimes russianukrainianwar https t co cgfk6g5tby
2239,Italy,russiaukrainewar,533,44.12,1496,on april 17 at the age of 38 serhii kolokolov a master of sports in weightlifting died in the russiaukrainewar before the war he was a coach trainer of the donetsk regional specialised children s and youth sports school of the olympic reserve source yangoly sportu https t co fcqi1fdvrx
2240,Italy,slavaukraini,696,1053.98,23693,i m done talking jointhelegion stoprussia slavaukraini https t co ob3gl1cz7p
2241,Italy,standwithukraine,2573,1093.63,34751,thank you russiaun for your letter dated march 16 please see our suggested edits below standwithukraine respectthecharter https t co 0m663r0tuw
2242,Italy,stoprussia,607,816.01,23693,i m done talking jointhelegion stoprussia slavaukraini https t co ob3gl1cz7p
2243,Italy,ukraine,20113,704.81,104384,this out of ukraine is 100 one of the most incredible videos i have ever seen this russian pow has the heart of a lion https t co kix1rsn0cz
2244,Italy,ukrainerussianwar,724,2294.07,77164,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2245,Italy,ukrainerussiawar,1909,90.07,14921,sfu token has continued her impressive performance help ukrainians and safeukraine in the ukrainerussiawar and make some dollars in the process 1 dollar soon https t co mexbnkqjdh
2246,Italy,ukraineunderattack,610,2648.27,77164,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2247,Italy,ukrainewar,1216,81.98,5741,ukraine osint ukrainerussiawar ukrainewar war criminals identified identification data of scouts of the russian 64th motorized rifle brigade https t co pvozhpkxta we ask you to share this information as much as possible https t co w7hu5yitgq
2248,Italy,ukrainian,1658,378.53,10879,seven busses packed with russian soldiers suffering from acute radiation syndrome arrived to belarus from the ukrainian chernobyl exclusion zone source member of public council of state ukraine agency of exclusion zone yaroslav yemelyanenko via unian news agency
2249,Italy,us,626,241.95,9347,a pleasure to meet with speakerpelosi amp recognise her longstanding support for taiwan your visit not only reflects strong us congressional support for bilateral ties it also sends a message to the world that democracies stand together in the face of common challenges https t co qu0qud3106
2250,Italy,usa,872,8.43,686,neither human rights nor democracy drives the foreign policy of usa uk eu canada it is interest they act wherever amp whenever their political amp economic interests are compromised the topics of human rights amp democracy are topics they talk about to look good
2251,Italy,war,909,284.26,47395,more than 300 russian scientists and scientific journalists have signed an open letter against the war in ukraine for me it is of particular significance because i am one of the signatories please retweet and tell everyone we do not support war https t co cqnxfommmx
2252,Ivory Coast,biden,5,391.2,1945,let us take a more honest look at biden and putin thank you irinamar1004_z https t co 5jexui7mnb
2253,Ivory Coast,business,2,0.5,1,to all time to patronize miaaaaaaababy for her objectives of the week and for the next thanks in advance business entrepreneurs beauty https t co gon4znt0yt
2254,Ivory Coast,china,4,52.5,205,taiwan pelosi china wwiii world war iii united nations while giving lecture of peace and patience to rest of the america china world amp russia https t co une2a2ydhi
2255,Ivory Coast,eu,5,4.0,15,fm lavrov in relations with eu russia has been striving to create equal amp mutually beneficial architecture incl on foreignpolicy yet was haughty about attempts to build balance of interests preferring to make decisions by itself amp then impose them as ultimate truth https t co a3mga9hlav
2256,Ivory Coast,kyiv,4,2250.5,8177,let us make kyiv the capital of humanity spirituality and peace stopthewar united standtogether ukraine kyiv standwithukraine freeukraine weareallukrainians stopwar actnow vitaliy_klychko https t co mobciitpri
2257,Ivory Coast,mariupol,2,141.0,149,our colleague sasha is in mariupol right now it has it is tough to hear what he describes it has it is even tougher to imagine how people are managing to survive https t co laebknhccx
2258,Ivory Coast,nato,12,302.67,1565,this war is empowering all the worst elements everywhere in russia in ukraine and in nato countries the voices of barbarism are drowning out voices for peace and the arms fossil fuel industry the warmongers pollutors are presented by the media as the reasonable people https t co vfxfpkudaf
